Time,Session,Snapshot,Probability
2026-05-02 16:23:52,user-2352,296,0.4851
2026-05-02 16:26:01,user-2601,84,0.2946
2026-05-02 16:27:22,user-2722,165,0.3558
2026-05-02 16:50:57,user-5057,84,0.3485
2026-05-02 16:52:16,user-5216,165,0.9933
2026-05-02 16:54:47,user-5447,84,0.5292
2026-05-02 16:57:07,user-5707,84,0.501
2026-05-02 16:58:27,user-5827,165,0.5843
2026-05-02 18:51:31,user-5131,84,0.0479
2026-05-02 18:52:50,user-5249,165,0.1203
2026-05-02 19:34:17,user-3417,84,0.0985
2026-05-02 19:36:21,user-3621,84,0.3322
2026-05-02 19:37:40,user-3740,165,0.0915
2026-05-02 19:40:34,user-4034,84,0.2146
2026-05-02 19:41:54,user-4154,165,0.071
